id,question,option_a,option_b,option_c,option_d,correct_option
OIC-009-13-A,What type of medical procedure was voluntary interruption of pregnancy initially intended to be?,Termination of pregnancy,Induced abortion,Pain management,Hysterectomy,option_a
OIC-009-11-A,What is the purpose of a Safeguard of Justice in medical terms?,To protect minors who are unable to make decisions for themselves,To provide temporary protection from harm,To ensure that individuals with disabilities can participate in decision-making processes,To prevent individuals from taking actions contrary to their interests when they are ill or injured,b
OIC-009-22-B,"What is the main provision of the Huriet-Sérusclat Law of 20 December 1988, amended by the Law of 9 August 2004, and Law no. 2012-300 of 5 March 2012 on research involving the human person (known as the Jardé Law), amended by Order no. 2016-800 of 16 June 2016?","The Huriet-Sérusclat Law sets out the principle of equality for all participants, whether sick or not.","This law provides for the creation of Consultative Committees for the Protection of Individuals in Biomedical Research (CCPPRB), independent of the administrative authority.","No remuneration is possible, but ""compensation"" for participants ""without direct individual benefit"" who are not hospitalized is possible.",The law is beneficial in that it provides legal certainty for investigators and requires prior examination of protocols and informed consent.,option_a
OIC-009-07-A,"Based on the given educational content, what is the main principle that guides refusal of care by healthcare professionals?",The principle of beneficence,The principle of autonomy,The principle of justice,The principle of respect for persons' rights and dignity,b
OIC-009-12-B,"Based on the text, what is the main purpose of a protective measure in France?",To protect an adult's rights,To prevent an adult from harming themselves or others,To provide financial assistance to an adult who cannot manage their finances,To allow a close relative to represent an adult on legal matters,option_a
OIC-009-14-B,What is the primary difference between In Vitro Genitalia (IVG) and Intrauterine Growth Restriction (IVG)?,IVG allows for termination of pregnancy at any time during the pregnancy,Both IVG and IVG have a time limit for termination of pregnancy,"The principles for obtaining consent are the same as for abortion, but CPDPN is responsible for accepting the request for an abortion",Intrauterine growth restriction (IVG) requires medical intervention to save the baby's life and should not be terminated,b
OIC-009-16-B,What is the primary justification for Preimplantation Diagnosis (PGD) in France?,To prevent prenatal diagnosis and potential pregnancy termination,For medical nomadism and gender standardization,Due to concerns about the instrumentality of procreation,To ensure the birth of a child free from serious genetic disorders only when necessary,d
OIC-009-18-A,What is the main idea of the Claeys-Léonetti law on patients' rights and end-of-life care?,The law aims to improve palliative care for patients at the end of life by allowing deep and continuous sedation until death when the vital prognosis is short-term.,"The law focuses solely on prolonging active therapies, disregarding patient wishes.",The law introduces a new medical technology allowing for prolonged life after losing the ability to express themselves.,The law allows patients to communicate their end-of-life wishes and provides a framework for respecting them.,d
OIC-009-24-B,What is the primary legal requirement for organ removal from deceased persons? ,The donor's consent must be obtained,A court order must be issued before removal can occur,The patient must be declared clinically dead and have no hope of recovery,Only organs that are deemed to be 'in circulation' can be removed,option_a
OIC-009-23-A,What is the primary purpose of presumed consent in organ donation? ,To allow individuals to donate organs without needing to express their willingness,To require individuals to explicitly agree to donate organs before they die,To deny individuals the right to donate organs if they have expressed a wish not to do so,To only apply presumed consent in cases where an individual is under guardianship or has been declared mentally incapacitated,option_a
OIC-009-10-B,What is the purpose of legal protection measures for adults with impairments or disabilities?,To empower them to make their own decisions about their care.,"To protect their rights and freedoms, including autonomy and dignity.",To provide a way for others to assist or represent them in their interests.,To enable the protected adult to exercise their right to participate in decision-making processes.,To empower them to make their own decisions about their care.
OIC-009-21-A,What is the main objective of ensuring informed consent in biomedical research?,To ensure that patients understand their risks and benefits,To protect vulnerable populations from exploitation,To facilitate the sharing of sensitive information between researchers and institutions,To provide a framework for resolving disputes over research ethics,a
OIC-009-03-A,What is the main purpose of the Code of Medical Ethics?,To establish a uniform set of rules for doctors,To regulate medical practice in accordance with laws and regulations,To promote patient autonomy and self-determination,To provide a framework for professional development and continuing education,option_a
OIC-009-01-A,What is one key aspect of medical ethics that involves questioning the morality of actions?,A medical professional must always act in accordance with their personal beliefs and values.,The patient has the right to choose or refuse any treatment without being forced to do so.,Medical research should be conducted using human subjects regardless of their consent.,Ethics is a code of good practice linked to legal rules.,b
OIC-009-25-B,What is a common misconception about organ donation between living people?,Donors must be related by blood,Donors cannot donate organs to their spouses or siblings,Cross-donation is only possible for identical twins,Donors can donate multiple organs simultaneously without coordination,b
OIC-009-27-B,When can genetic testing be conducted without a magistrate's instruction?,During paternity tests,For medical or scientific research purposes,In forensic medicine to identify deceased individuals,Without prior written consent in all cases,b
OIC-009-26-B,What is the primary purpose of the law concerning the use and conservation of elements and products of the human body?,Therapeutic purposes only,To conserve space in hospitals,For scientific research,To increase profits from organ sales,option_a
OIC-009-04-A,What are the four main principles of medical ethics according to the principles approach?,Beneficence and Non-maleficence,Autonomy and Justice,Respect for Autonomy and Justice,Beneficence and Respect for Autonomy,a
OIC-009-02-A,What is the primary goal of medical ethics?,To prioritize individual autonomy over societal needs,"To establish a global, universal code of ethics for all medical practices",To ensure that biomedical technologies are used only for therapeutic purposes,To promote interdisciplinary collaboration between biologists and philosophers,option_a
OIC-009-20-B,What is the main purpose of an Anticipatory Directives in French law?,To ensure that patients can express their opinions and preferences for their care at the end of life.,"To limit or stop treatment if it appears 'useless, disproportionate, or having no effect other than the artificial maintenance of life' according to the 2005 law.","To establish a hierarchy for tracing a patient's wishes: advance directives, testimony of the trusted support person, and testimony from family or close friends.",To respect patients' wish to refuse treatment after informing them of the consequences.,c
OIC-009-06-A,What should be done if the risks associated with a medical procedure are exceptional?,Ensure patients have full knowledge and informed consent before proceeding.,"Provide information about all possible solutions, even those that may lead to further complications.",Keep the patient in the dark about serious diagnoses or prognoses without their explicit consent.,Make sure that every possible solution is considered and discussed with patients before making a decision.,A. Ensure patients have full knowledge and informed consent before proceeding.
OIC-009-08-A,What is the purpose of a 'trusted support person' appointment?,To provide information on the conditions for their appointment,To obtain consent from the patient to appoint them as a trusted support person,To enable patients to designate someone they want to be involved in their care,To allow healthcare teams to manage and control who can participate in decision-making process,c
OIC-009-05-A,What is the correct definition of respect for autonomy in medical ethics?,The right to make decisions about one's own body and health without interference from others.,A patient's refusal to undergo a particular treatment or procedure as a way of exercising their autonomy over their own body.,"The duty of healthcare providers to inform patients in a clear and understandable manner, allowing them to make informed decisions about their care.",A patient's right to refuse medical treatment without fear of reprisal or consequence.,a
OIC-009-17-A,What is the main ethical issue in defining 'the end of life'?,Variability in understanding,Standardization of scales,Complexity and uncertainty,Individual preference,option_c
OIC-009-19-B,What is the main purpose of the 'collegial procedure' in end-of-life situations?,To ensure that patients are kept alive artificially until they can express themselves,To establish the person's wishes through consultation with medical professionals and family members,To reduce treatment to a minimum before death,To provide a 'duty of solidarity' towards vulnerable individuals,b
OIC-315-03-B,What is a known factor that increases the risk of Acute Leukaemia?,History of exposure to toxic substances,Previous exposure to ionising radiation,Genetic anomalies in parents,Evolution of chronic myeloid leukaemia,option_a
OIC-315-02-A,What is the main difference between Acute Lymphoblastic or Lymphoid Leukaemia (ALL) and Acute Myeloblastic or Myeloid Leukaemia (AML)?,ALL has two peaks in incidence: in children under the age of 15 and in adults over the age of 50.,Both ALL and AML have a median age at diagnosis of 18 for ALL. ,"B-lymphocytic ALL (B-ALL) is associated with an increased risk of certain genetic mutations, while T-lymphocytic ALL (T-ALL) is more common in adults.",Both ALL and AML have a median age at diagnosis of 70 for AML., option_c
OIC-315-05-A,What is a potential complication of Acute Leukaemia?,Superior Vena Cava Syndrome,Thrombocytopenia,Hyperleukocytosis,Neutropenia,a
OIC-315-06-A,What is a characteristic feature of acute leukaemia on a haemogram?,Thrombocytosis,Normo- or macrocytic anaemia,Hypertrophy of the reticulocytes,Proliferation of red blood cells,option_b
OIC-315-04-A,What is a common sign of bone marrow failure in acute leukaemia?,Anaemic syndrome,Haemorrhagic syndrome,Infectious syndrome,Bone pain,a
OIC-315-10-B,What is the main indication for performing a myelogram in children with acute leukaemia?,Imaging to confirm bone marrow involvement,To diagnose neurological symptoms,To prevent pain in healthcare,To detect circulating blastosis,a
OIC-315-07-B,What percentage of marrow infiltration in a myelogram indicates leukemia?,20% ,10% ,> 20% ,0%,c
OIC-315-09-A,What is the correct symptom that should raise suspicion of acute leukemia in children within 2-3 weeks?,Specific or non-specific fever,Tumour syndrome,Pallor,Hyperthermia/Fever,a
OIC-315-01-A,What is a characteristic feature of acute leukemia (AL) regarding its origin?,It originates from mature blood cells.,It involves normal bone marrow cells that have undergone transformation to become cancerous.,"It results in the death of all blast cells, regardless of their stage of differentiation.",It is a type of lymphoma.,b
OIC-315-08-A,What percentage of childhood leukaemias are Lymphoblastic?,80% ,90% ,75% ,100%,option_a
OIC-102-14-B,What is a characteristic feature of recent diplopia?,Virtually all cases are caused by neurological damage,Pain is common in diabetic patients with painful diplopia,The patient's background and circumstances of onset do not affect the diagnosis of diplopia,The patient will always have an abnormality of the direct or consensual photomotor reflex,option_a
OIC-102-02-A,Is diplopia caused by one or two eyes?,One,Two,Three,Four,B
OIC-102-13-B,What is the primary cause of monocular diplopia?,Corneal scarring due to keratitis or trauma,Iris-related traumatic iridodialysis,Nuclear cataract of the crystalline lens,Crystalline lens dislocation,option_a
OIC-102-12-B,What is the recommended imaging examination for recent acute diplopia?,Intracranial aneurysm,Cerebral arteriography,Optical disorder in the eye,Neutrophil count,option_a
OIC-102-05-B,What is the correct definition of Tropia?,A condition where the eyes are deviated downward.,A condition where the eyes are not deviated at all.,A deviation that only affects one eye.,A condition where the eyes are both deviated upward.,b
OIC-102-10-A,What is the primary clinical argument in favor of myasthenia gravis when diplopia occurs?,"Fluctuating paralysis, worsening during the day",Unilateral ptosis and fluctuating weakness,Diagnosis should be based on a biopsy to rule out thymoma,Electromyography is not typically used for diagnosis,option_a
OIC-102-04-B,What does 'ductus' refer to in relation to diplopia?,A muscle that controls eye movements,An organ responsible for vision,A type of optical instrument,The process of combining images from both eyes,a
OIC-102-03-B,What is the primary purpose of a red lens examination in diplopia?,To check for corneal reflection,To assess oculomotor parallelism,To identify an oculomotor imbalance,To diagnose Hess-Lancaster or Lancaster test,option_d
OIC-102-09-B,What is the main idea of this educational content?,The VI nerve can be compressed by intracranial hypertonia.,VI paralysis has a high localizing value.,"Intracranial hypertension may compress the VI nerve, but it does not affect its localizing value.",Any other oculomotor paralysis indicates a lesion in the nuclei or nerve tracts concerned.,c
OIC-102-01-B,Where do the abducens nerves III and VI end?,The superior orbital fissure,The internal carotid artery,The floor of the cavernous sinus,The posterior communicating artery,b
OIC-102-11-A,What is the priority in treating recent diplopia?,Performing a neurological examination and cerebral imaging,Considering an intracranial aneurysm as a cause of III paralysis,Waiting for 24 hours before performing any action,Following a specific treatment protocol without evaluation first,Performing a neurological examination and cerebral imaging
OIC-215-04-A,What is a key indicator of purpura fulminans in adults?,Fever,Hyperthermia,Cervical spine fracture,None of the above,b
OIC-215-02-A,What is the main mechanism of vascular purpura differentiating it from thrombocytopenic purpura?,Inflammation of the capillary wall.,Fragility of the capillary vessel wall.,Congenital defect in platelet production.,Thrombophlebitis causing inflammation and thrombus formation.,option_a
OIC-215-08-A,What is the primary cause of Purpuras in adults and children?,Infectious causes,Vascularity,Thrombocytopenia,Endocarditis,a
OIC-215-03-A,What is the primary treatment for purpura fulminans in adults?,Intravenous antibiotics,Blood transfusion,Anticoagulant therapy,Corticosteroids,option_a
OIC-215-05-A,What is the primary cause of thrombocytopenic purpura in adults and children?,Endocarditis,Vasculitis,Scurvy,Tumour syndrome,option_b
OIC-215-09-A,What is the primary treatment for purpura apart from platelet transfusion?,Apply topical creams to promote healing,Administer antibiotics to treat underlying infection,Use antihistamines to reduce itching and inflammation,Perform a blood transfusion (SD-272),option_a
OIC-215-01-A,What is a characteristic feature of purpura?,A purpura is always caused by a bacterial infection.,A purpura is only found in adults,The appearance of purpura can vary greatly from person to person,Purpura occurs when the blood vessels are under constant pressure.,c
OIC-215-06-A,What is the primary laboratory test to diagnose thrombocytopenic purpura in adults and children?,Fibrinogen test,Platelet count,Liver function tests,Blood smear analysis,option_a
OIC-215-07-B,What is the first-line biological test for vascular purpura in adults?,Anti-neutrophil cytoplasmic antibodies (ANCA),Cryoglobulinemia,Hemoglobin A1c,Leukocyte Alkaline Phosphatase (LAP)},option_a
OIC-176-15-A,What is a collective foodborne outbreak?,A group of people eating contaminated food together.,A large number of people eating the same type of food at once.,A person eating raw meat in a crowded restaurant.,A small cluster of people with similar symptoms.,A group of people eating contaminated food together.
OIC-176-06-B,Which parasitic infection is most commonly found in children?,Giardia intestinalis,Cryptosporidium spp,Taeniasis,Cystoisospora belli,a
OIC-176-16-A,What is the primary cause of Dehydration associated with Hemolytic Uremic Syndrome (HUS) in adults?,Dehydration caused by a bacterial infection.,Diabetes mellitus.,Vitamin deficiencies.,A viral illness like the common cold.,option_a
OIC-176-10-B,What is the primary indication for endoscopic examination in adults?,Persistent diarrhoea with no identified cause despite prior work-up,Infection of the appendix,C. difficile colitis,Rectal prolapse,option_a
OIC-176-02-A,What is the primary cause of functional diarrhoea in children?,Inflammatory bowel disease,Malabsorption due to lactose intolerance,Allergy to cow's milk protein,Parasitic infection,option_a
OIC-176-09-A,What is the main additional test to assess the impact of infectious diarrhea on adults?,Stool culture,Blood gas with lactates,Thyroid function tests,Complete blood count (CBC),option_a
OIC-176-11-A,What is the primary goal of oral rehydration therapy in adults with acute diarrhoea?,To prevent dehydration,To treat dysentery,To correct electrolyte imbalances,To relieve constipation,option_a
OIC-176-08-B,What should be done if a person presents with persistent digestive problems and bloody stools?,Testing for giardiasis,Testing for intestinal amoebiasis,Cryptosporidiosis testing,Anguillulosis testing,option_d
OIC-176-13-A,What is the typical duration of antibiotic treatment for Shigella and Salmonella Typhi in children?,1 day,2 days,3 days,4 days,c
OIC-176-01-A,What is the correct definition of diarrhoea in adults?,The frequency of unformed stools greater than 3 times per day,Diarrhoea is a condition where you can pass gas after eating,Diarrhoea occurs when your body is producing too many digestive enzymes,Diarrhoea in adults means having a bowel movement every hour,option_a
OIC-176-07-A,What is the most appropriate complementary test to use when diagnosing gastrointestinal infections in children under 4 years old?,Blood Cultures,Stool Culture,Parasitological Examination of Stools,C. difficile Toxin Testing,option_b
OIC-176-03-A,What is the most common cause of HUS Dehydration in adults?,Shigella infection,Diuretic overdose,Multiple medications (such as diuretics),Hemolytic Uraemic Syndrome (HUS) itself,b
OIC-176-05-A,What is the main difference between choleriform and dysenteric syndrome?,"Choleriform refers to a type of diarrhoea that affects the gallbladder, while dysenteric refers to a type that affects the intestines.",Both refer to types of diarrhoea that cause abdominal pain,"Dysenteric syndrome is caused by a bacterial infection in the rectum, while choleriform syndrome is caused by a viral infection in the gallbladder.",Choleriform and dysenteric are simply different types of diarrhoea that occur at different times.,c
OIC-176-04-A,What is the most common cause of watery diarrhoea in children?,Vibrio cholerae,Shigella spp.,Rotavirus,"E. coli (ETEC, EAEC, EPEC, EIEC, EHEC)",d
OIC-176-14-A,What is the main purpose of hand hygiene before meals and after using the toilet in preventing infectious diarrhoea?,To reduce the spread of pathogens,To improve food safety,To boost immunity against diseases,To prevent hospitalisation due to infections,b
OIC-176-12-A,What is the correct treatment for acute gastroenteritis in adults?,Give antibiotics,Increase fluid intake,Use oral rehydration therapy without antibiotics,Administer antacids,c
OIC-176-17-A,What is a common symptom of mild acute diarrhoea in children?,Fever,Vomiting,No symptoms at all,Diarrhoeal vomiting and abdominal pain,c
OIC-353-09-B,When to hospitalise someone for suicidal risk,To reduce hospital stay time,To increase hospital stay duration,To improve patient safety,To delay psychiatric treatment,c
OIC-353-04-A,"What is the most common age group at which suicidal thoughts and intentions are possible in children, adolescents, and adults?",5-6,7-8,9-10,11+ years old,b
OIC-353-01-A,What is the definition of 'attempted Suicide (AS)'},A deliberate act to end one's own life,An unattempted suicide,A self-inflicted behavior with no fatal outcome,A suicidal thought without a wish to die,option_a
OIC-353-03-A,What is the primary characteristic of a suicidal crisis?,Coping strategies are not overwhelmed when there is no choice,The individual may be experiencing worsening symptoms without seeking help,A person in a suicidal crisis often feels intense psychological suffering and reduced values,Vigilance indicates an imminent acting out of suicidal behavior,option_c
OIC-353-11-B,What is a common feature of older people's depressive episodes?,Physical pain,Abuse,A sudden change in behavior,A systematic search for comorbid psychiatric disorders,b
OIC-353-07-B,What is the main goal of the management system in suicidal risk assessment?,Identify underlying emotional issues,Provide immediate medication,Avoid confronting patients directly,Offer alternative coping mechanisms,option_a
OIC-353-06-B,What is a key aspect of suicidal risk and behaviour in adults?,Early detection,Restricting access to resources,Training health workers,Follow-up care and community support,b
OIC-353-08-A,What should a doctor do if someone is experiencing suicidal thoughts?,Call emergency services immediately,Check their phone for any messages from friends or family,Give them a quiet welcome and keep them safe without assessing the risk of suicide,Prescribe medication to calm them down,option_a
OIC-353-05-A,What is the primary purpose of assessing suicidal risk in children?,To identify individuals with a history of previous suicidal attempts,To predict the likelihood of future suicidal behavior,To determine the underlying cause of suicidal thoughts and behaviors,To assess the level of protection against suicide,c
OIC-353-10-B,What should be included in a personalized safety plan with children and adolescents?,A list of their favorite hobbies,A detailed description of their daily routine,A list of emotional triggers that may lead to suicidal behavior,Only calming activities like reading or listening to music,c
OIC-353-02-A,What percentage of individuals aged 18-75 reported having attempted suicide in their lifetime?,0.39%,1.2%,4.2%,7.2%,option_b
OIC-082-07-A,What is the main difference between intravitreal hemorrhage and occlusion of the central retinal artery or vein?,Intravitreal hemorrhage,Occlusion of the central retinal artery or vein,Retrobulbar optic neuritis (RORB),AMD complicated by macular choroidal neovessels,option_a
OIC-082-09-B,What is the main difference between central retinal artery occlusion (CRAO) and central retinal vein occlusion (CRVO)?,"CRAO results in a sudden, profound drop in visual acuity due to the blockage of blood flow to the retina, whereas CRVO results in a decrease in visual acuity due to damage to the optic nerve.","Both CRAO and CRVO can cause visual loss, but CRAO typically occurs suddenly with areflexic mydriasis, whereas CRVO has a more gradual onset.","CRAO is often seen in younger patients due to the prevalence of carotid atheroma, whereas CRVO is more common in older adults due to the increased risk of systemic diseases such as hypertension and diabetes.","The most serious complication of both CRAO and CRVO is neovascularization, but the treatment approach differs, with laser retinal panphotocoagulation being used for ischaemic forms and intravitreal anti-VEGF injections being indicated in cases with CMO.",option_a
OIC-082-01-A,What happens to a visual disorder when one eye is occluded?,"The visual problem disappears, as if seeing through both eyes.",The visual disturbance increases in severity with each occlusion.,The visual problem remains the same whether the healthy or occluded eye is used for assessment.,"When one eye is occluded, the visual disorder disappears completely.",option_a
OIC-082-08-B,What is the primary indication for imaging in cases of acute visual impairment?,Ocular ultrasound,Goldman visual fields (kinetic perimetry),Fluorescein angiography,"Electrophysiology (electroretinogram [ERG], electro-oculogram [EOG], visual evoked potentials [PEV])",option_b
OIC-082-06-A,"What is the most common cause of acute visual impairment in patients with acute anterior ischemic optic neuropathy (AIAON), papilledema, and other optic nerve damage?",Arteriosclerosis,Retrochiasmatic disease,Pituitary adenoma,Tumoral optic neuropathies,option_c
OIC-082-12-B,What is a common differential diagnosis for transient monocular blindness in the context of a migraine aura?,Retinal tear,Posterior vitreous detachment,Rhegmatogenous retinal detachment,Vitreous haemorrhage,c
OIC-082-17-B,What is a characteristic feature that can help differentiate between mild and severe vitreous hemorrhages?,A reduction in visual acuity,An increase in myodesopsia,The presence of retinal detachment,A sudden change in the shape of the eye,option_c
OIC-082-15-A,What is the primary sign that suggests a retinal detachment in an individual with acute visual impairment?,The sudden onset of pain,Rapid loss of peripheral vision,A gradual increase in visual acuity,Myodesopsias followed by phosphenes corresponding to the onset of retinal tearing,option_a
OIC-082-16-B,What is the primary cause of rhegmatogenous retinal detachment?,Hypertension,Gestational toxaemia,Age-related myopia,Trauma,c
OIC-082-10-B,What is the most common cause of optic neuropathy in elderly patients?,Arteriosclerosis,Horton's disease,Alcohol-induced optic neuropathy,Diabetes,a
OIC-082-11-A,Quel est le principal symptôme de l'ophthalmic migraine ou migraine évoquée visuelle ? ,Les flashes colorés et progressifs,Une douleur chronique dans la partie médiane du visage,Un scintillant scotoma isolé avec une headache ponctuelle,Des hallucinations auditives,option_a
OIC-082-02-A,What is Amaurosis fugax?,A transient retinal artery occlusion,A temporary vision loss due to a viral infection,A rare genetic disorder affecting the eyes,A sudden decrease in blood flow to the retina,d
OIC-082-05-B,What is the main indication for a retinoscopy examination?,To diagnose acute visual impairment,For assessing colour vision defects,To measure eye pressure,For determining oculomotricity,b
OIC-082-03-A,What is the main difference between the direct and consensual pupillary reflexes?,The direct pupillary reflex occurs when both eyes are stimulated equally,"The direct pupillary reflex occurs when one eye is illuminated, while the other remains dark",Both eyes have equal afferent pathways to the optic nerves,Neither eye has an afferent pathway for the PMR,b
OIC-164-07-A,What is the primary mode of transmission for HHV6 virus in children?,Mother to child through breast milk,Human-to-human contact through contaminated surfaces,Airborne transmission via coughing and sneezing,Mother to child through vaginal delivery,option_b
OIC-164-10-A,What is the primary characteristic of Kawasaki disease in terms of its pathophysiology?,Vasculitis of small vessels,Inflammatory syndrome,Cardiac involvement,Genetic predisposition and environmental factors,d
OIC-164-05-A,What is a characteristic feature of congenital rubella?,Microcephaly,Deafness,Growth retardation,Cardiac malformations,b
OIC-164-06-A,What is a common risk for pregnant women infected with Parvovirus B19?,Erythema nodosum,Hydrops fetalis,Arthritis,Pre-eruptive phase of the rash,c
OIC-164-02-A,What is the main emergency related to a purpura fulminans in children?,Necrotising fasciitis,Purpuras in adults and children,Staphylococcal epidermolysis,Toxidermia,b
OIC-164-08-A,What is the preferred age for primary infection with infectious mononucleosis?,Adolescence,Prolonged fever in younger children,Age not specified,Acute or prolonged fever in all ages,a
OIC-164-01-A,What is the primary classification of a maculopapular rash?,Macule,Vesicle,Pustule,Scarlatiniform exanthema,option_a
OIC-164-04-A,What is the recommended treatment for measles in infants?,Symptomatic treatment,Antibiotics only,Vaccination with live attenuated vaccine,Polyvalent immunoglobulin,c
OIC-164-09-A,What type of GAS toxin causes Scarlet Fever?,Group A Streptococcus beta-hemolytic subgroup,Group A Streptococcus erythrogenic subgroup,Group A Streptococcus alpha-hemolytic subgroup,None of the above,b
OIC-164-03-A,What is the main feature of Kawasaki disease?,Fever ≥ 5 days,Cervical adenopathy,Facial edema,Hypereosinophilia,a
OIC-164-11-A,"What is the primary mode of transmission of chickenpox (varicella-zoster virus infection)?
","Airborne (aerosol)
","Contact with vesicles
","Contaminated food and water
","Unidentified bacteria
",b
OIC-342-18-B,What is the recommended follow-up care for a patient who presents with malaise and syncope?,Regular blood pressure checks,Cognitive therapy to address underlying mental health issues,"A thorough examination of their eyes, as they may be experiencing retinal detachment",A series of injections into the abdomen to alleviate symptoms of lipothymia,option_a
OIC-342-02-B,What is the main pathophysiological mechanism of cerebral hypoperfusion?,Decreased blood flow to the brain,Increased oxidative stress,Viral infection leading to inflammation,Electrolyte imbalance causing muscle spasms, Decreased blood flow to the brain
OIC-342-06-A,What is a pseudo-seizure?,A sudden loss of consciousness in adults,"A brief, harmless muscle spasm",A rare and mysterious illness,A type of psychiatric disorder,option_a
OIC-342-19-B,What is the recommended approach to managing a patient with symptoms of disorientation and dizziness?,Administering a new medication that has never been used before,Providing a thorough physical examination to rule out underlying conditions,Switching to a different medication immediately without consulting the doctor,Monitoring the patient's vital signs closely,option_a
OIC-342-10-A,What is the main idea?,Call for immediate assistance,Use a defibrillator,Administer oxygen therapy,"Call emergency services immediately, then monitor the patient's heart rhythm",d
OIC-342-20-A,What is the correct indication for administering benzodiazepine short-acting antiepileptic treatment?,Severe seizures in children under 1 year old,Acute migraine attacks,Panic disorder with agoraphobia,Post-traumatic stress disorder (PTSD),a
OIC-342-05-A,What is the primary characteristic of orthostatic hypotension?,A sudden drop in blood pressure upon standing,A rapid increase in heart rate after standing,A severe headache with nausea and vomiting,A feeling of impending doom or anxiety,option_a
OIC-342-11-A,What is a correct indication for performing an ECG in cases of syncope?,Abnormal heart rate,Hypotension and tachycardia,Purpura and petechiae,Rapid breathing and sweating,A
OIC-342-17-B,"What is the recommended course of action after a patient experiences symptoms of discomfort, loss of consciousness, coma in adults with suspected cardiac causes?",Monitor for signs of cardiac arrest,Perform CPR,Administer epinephrine,Use defibrillator,b
OIC-342-21-A,What is the primary purpose of combining short-acting and long-acting treatments in the management of a comatose seizure?,To reduce seizures duration,To increase seizure intensity,To increase risk of secondary brain damage,To improve patient comfort,a
OIC-342-09-A,What is a common cause of malaise in adults without loss of consciousness?,Falls,Catalepsy,Drop attacks,Psychogenic pseudo syncope,a
OIC-342-15-A,What should you do if someone is experiencing a generalized convulsive seizure?,Call emergency services immediately,Try to wake the person up,Let the seizure continue without intervention,Perform CPR on the person,a
OIC-342-03-A,What is the main diagnostic criterion for a syncope or lipothymia?,Duration of loss of consciousness,History of a disease causing dysautonomia,Vital signs such as heart rate and blood pressure when lying and standing,Family history of heart disease,option_a
OIC-342-16-A,What should be done to treat a person in a coma who is experiencing malaise?,Administer pain medication,Try to move the patient,Apply heat therapy,Give an IV of water and sugar solution immediately,b
OIC-342-13-B,What is the main difference between syncope and lipothymia?,"Syncope occurs when a person loses consciousness due to a temporary lack of oxygen, while lipothymia involves prolonged periods of numbness in the extremities",Both are caused by dehydration and require immediate medical attention,"Lipothymia is a rare condition that affects only children, whereas syncope can occur at any age","The main difference between the two conditions lies in their symptoms: syncope is characterized by brief loss of consciousness, while lipothymia is marked by persistent numbness",option_c
OIC-342-04-A,What triggers the loss of consciousness in adults with syncope?,Exertion,Trauma,Lying Down,Circumstances Unknown,b
OIC-342-12-B,What is a valid indication for performing an electroencephalogram (EEG) in adults with suspected epilepsy?,A seizure lasting less than 30 seconds.,A fever of unknown cause.,A recent injury to the head.,A routine check-up by a general practitioner.,option_a
OIC-342-08-A,What is a common cause of malaise in adults?,Falls,Psychogenic pseudo syncope,"Metabolic disorders including hypoglycaemia, hypoxia, intoxication, etc.",Discontinuation of treatment,option_c
OIC-342-14-A,"What is a condition that requires an emergency cardiological, neurological, resuscitation opinion within 24 hours?",Atrial Fibrillation,Panic Attack,Cardiac Arrest,Tongue Bite,a
OIC-342-01-A,What is the main difference between syncope and lipothymia?,"Syncope occurs when there is brief loss of consciousness, while lipothymia lasts longer.",Lipothymia has a shorter duration of cerebral hypoperfusion than syncope.,"Both conditions cause loss of consciousness, but lipothymia is characterized by an imminent sensation of syncope without complete loss of consciousness.",Neither condition requires prolonged loss of consciousness to be diagnosed.,c
OIC-342-07-A,What is a possible cause of syncope in adults?,Hypertension,Atrial fibrillation,A reflex response to emotional distress,Dilated cardiomyopathy,c
OIC-245-24-B,What is the main specificity for diagnosing adrenal insufficiency in children?,17 OH progesterone assay,Long-chain fatty acid measurement,21 Hydroxylase deficiency screening,HDL cholesterol level testing,option_a
OIC-245-06-B,What time does ACTH typically be measured for diagnosis?,12 o'clock at noon,8 o'clock in the morning,Midnight,2 o'clock in the afternoon,b
OIC-245-17-B,What is the correct interpretation of elevated ACTH in a patient with suspected adrenal insufficiency?,ACTH is an overactive hormone that stimulates the adrenal glands to produce cortisol.,ACTH is an overactive hormone that stimulates the adrenal glands to produce aldosterone.,ACTH is a stress hormone released in response to low cortisol levels.,ACTH is a sex hormone produced by the ovaries or testes.,option_b
OIC-245-13-B,What is a common measure given to patients with chronic adrenal insufficiency?,Hydrocortisone tablets,Fludrocortisone tablets,Laxatives and diuretics,Normosodium diet,option_a
OIC-245-08-B,What is the main cause of bilateral adrenal lesions in adults?,Autoimmune Cortical Shrinkage,Vascular Causes,Drug-Induced,Infectious Causes,b
OIC-245-10-B,What is a possible other cause of adrenal insufficiency in adults and children?,Autoimmune disease (pituitary),Granulomatosis (sarcoidosis in particular),Trauma,"Sudden necrosis during hypovolemic shock in the postpartum period (Sheehan's syndrome, very rare)",A
OIC-245-16-A,What is the primary sign of adrenal insufficiency in adults?,Dehydration,Hypertension,Confusion,Fever,a
OIC-245-05-A,What should be the target range for cortisol levels to confirm adrenal insufficiency in adults and children?,50 ng/ml,138 nmol/l,180 ng/ml,500 mmol/l,b
