question,cop,opa,opb,opc,opd,subject_name,id,prediction
Hybridoma used in:,C,In situ hybridization,Sequencing DNA,Production of monoclonal antibodies,Production of continuous cell lines,Biochemistry,84adfb92-d9f8-46e5-811f-f400792b84dd,C
Function of oxytocin,A,Milk ejection,Milk secretion,Ovulation,Maintenance of pregnancy,Physiology,2e2f3f1a-7131-4de8-8995-a357518b6558,A
Risk factors for active tuberculosis among persons who have been infected with tubercle bacilli,B,Peptic ulcer,Silicosis,Leprosy,Acute renal failure,Medicine,462921e1-cfdc-4ee0-8111-93bfbb6f5218,B
Pulsatile proptosis is seen in -,A,Caroticocavemous fistula,Orbital varix,Thyroid ophthalmopathy,Neuroblastoma,Ophthalmology,d236c471-4601-4837-9dd6-5552ed4c43e7,A
Low birth weight baby is the one whose birth weight is?,C,Less than 1800 g,Less than 2000 g,Less than 2500 g,Less than 3000 g,Pediatrics,0cdb8f47-6575-49b2-b69a-ee0005f15fb9,C
Best imaging modality for diagnosis of Tubercular meningitis is?,B,CE-CT,CE-MRI,PET,SPECT,Radiology,7f5b53b1-60aa-4fed-976a-150256e594af,B
Population attributable risk is defined as the difference between:,C,Incidence in exposed and incidence in non-exposed compared with incidence in non-exposed,Incidence in population and incidence in exposed compared with incidence in population,Incidence in population and incidence in non-exposed compared with incidence in population,Incidence in population and incidence in exposed compared with incidence in non-exposed,Social & Preventive Medicine,207bda46-9de5-4f37-8dc0-32c21d604c5c,C
Insulin Dependent glucose transport is through -,B,GLUT-2,GLUT-4,GLUT-5,SGLT-1,Biochemistry,e838496c-b544-473d-bf55-d5466f0c03e0,B
Most common antigen involved in erythroblastosis fetalis is -,B,C antigen in Rh group,D antigen in Rh group,E antigen in Rh group,Duffy antigen,Pediatrics,a8c0378a-a8df-4fd7-b2af-dc1b298c895f,B
Which of the following general anaesthetics has poor muscle relaxant action?,B,Ether,Nitrous oxide,Halothane,Isoflurane,Pharmacology,819d3b48-70af-430f-a783-d8f6afc5818f,B
"In congenital dystrophic variety of epidermolysisbullosa, mutation is seen in the gene conding for:",B,Laminin 4,Collagen type 7,Alpha 6 integerin,Keratin 14,Skin,e535e5cf-db96-4278-994c-e70a5a6ed22c,B
Normal intraocular pressure is,C,2.1-6 mm Hg,7-14 mm Hg,10-21 mm Hg,16-32 mm Hg,Ophthalmology,6c9f8616-bdbc-4948-afca-bb6f6e074ab1,C
Which of the following tests is used in the diagnosis of Tinea faciei?,B,Gram's stain,KOH mount,Tissue smear,Wood's lamp,Skin,41e2fbce-a3d0-40c4-a1aa-8df874e08caf,B
Child with conduct disorder is prone to develop which personality disorder?,A,Antisocial,Avoidant,Dependent,Anankastic,Psychiatry,78929051-3361-47b8-ace1-9a0402a8d83a,A
"An obese individual is brought to the emergency room by a concerned friend. The patient has been on a self-imposed ""starvation diet"" for four months, and has lost 60 pounds while consuming only water and vitamin pills. If extensive blood studies were performed, which of the following would be expected to be elevated?",A,Acetoacetic acid,Alanine,Bicarbonate,Chylomicrons,Biochemistry,b8fa75ed-478d-48b4-aa2c-a440eae68180,A
Target or Iris lesion are seen in:,B,Urticaria,Erythema multiforme,Scabies,Lichen planus,Skin,4243459c-fdbb-48f0-be66-697e9b21440a,B
Hb A 2 concentration in thalassemia trait is ?,D,1,1-2.5,2.5-3.5,> 3-5,Pediatrics,780bab1e-7da3-42c9-8453-0f8d458a176c,D
Apical group of lymph nodes belong to which level in axillary group of nodes - NOT RELATED - MEDICINE,C,Level I,Level II,Level III,Supraclavicular,Pharmacology,875d44b5-3e11-4b48-afd7-62c444a0539b,C
A building contractor suddenly complains of lower backache which increase on bending down He has,C,Renal colic,Tuberculosis of spine,Disc prolapse,Fibrositis,Surgery,456c5a67-0769-44c9-8317-80e74ad8534b,C
Glutathion synthetase requires ?,C,Copper,Selenium,Magnesium,Iron,Biochemistry,f7b670d0-122d-4e6d-b19f-8a4a01183def,C
Which of the following is an absolute indication for surgery in cases of benign prostatic hyperplasia?,B,Nocturnal frequency,Bilateral hydroureteronephrosis,Recurrent urinary tract infection,Voiding bladder pressures > 50 cm of water,Surgery,5830b163-36df-4267-ae81-9b1d47facff7,B
"In child death rate, which of the following is included -",C,Children< 5 years,Children <10 years,Childrens 1-4 years age,Children 10-15 years,Social & Preventive Medicine,b521cf1d-ad08-479e-b40d-2ae0f7a9dc09,A
The following vitamin acts as a cofactor for glycogen phosphorylase:,C,Thiamine pyrophosphate (B1),Riboflavin (B2),Pyridoxal phosphate (B6),Methyl cobalamin (B12),Biochemistry,272eecc5-44b6-470d-91ec-56c721495c7d,C
The medial bulging of pharynx is seen in:,A,Pharyngomaxillary abscess,Retropharyngeal abscess,Peritonsillar abscess,Paratonsillar abscess,ENT,1562b912-34a4-4efd-96dd-40ccfaf646ff,B
"When does a fixed dental prosthesis (FDP), which was cast in one piece, need to be sectioned?",B,When a cantilever pontic is used.,When the fit cannot be achieved or verified with a one-piece cast.,When single crowns are adjacent to the FDP.,"Always, in order to achieve a good fit.",Dental,d25f1307-104c-4190-a5cc-0b5047145a86,B
The most frequent trace mineral deficiency developing in a patient receiving parenteral alimentation is a deficiency of,D,Ca,Chromium,Cobalt,Zinc,Surgery,b8a75430-2680-488f-a131-1caee88739a8,D
Typical change in problem behavior shows how many stages ?,D,2,3,4,5,Psychiatry,16c4e1aa-c229-4a7a-9935-f83b34e95a07,D
IV rule for bums-,D,% body surface area × weight in pounds × 4 = Volume in ml,% body surface area × weight in Kgs × 4 = Volume in Lts,% body surface area × weight in Kgs × 5 = Volume in ml,% body surface area × weight in Kgs × 4 = Volume in ml,Surgery,c437c36d-4869-4567-bf94-581f436540b2,D
Helitrope rash is seen in -,B,Psoriasis,Dermatomyositis,DLE,Pemphigus,Skin,e9877a7e-da8d-4a34-a1e5-c89455a8cbf5,B
Which of the following drug has got an effect on CNS:,C,Neostigmine,Pyridostigmine,Physostigmine,Edrophonium,Pharmacology,d63d0abd-9b6a-4892-8338-5d57e35d1518,C
Cod-fish veebrae are seen in:,B,Osteomalacia,Osteoporosis,Spinal tumors,Fractures,Orthopaedics,e94bac82-c8e9-4c0a-8fcb-6468ac148cc7,B
Spot the diagnosis in the following IVU,D,Horse shoe kidney,Bladder diveiculum,Pelvic mass,Ectopic kidney,Radiology,19383a25-6995-4415-a34b-7e5ae4da4563,D
Boutonniere deformity involves -,C,Flexion at PIP and DIP joint,Extention at PIP and DIP joint,Flexion at PIP and Extention at DIP joint,Extention at PIP and Flexion at DIP joint,Orthopaedics,fa57f17e-16c2-42a8-8cd6-404fde63004a,C
Middle radio-ulnar joint is a type of,C,Pivot Joint,Saddle Joint,Syndesmosis,Gomphosis,Anatomy,3f09d666-6490-4a0b-864a-c75b0d73cb99,C
Which of following channel play a role in CSF formation?,A,Cl-and k+exchanger,Na+symoper,K+channel,Cl- channel,Physiology,dd6062cb-9055-433b-b29e-935cf0182388,D
Minimum alveolar concentration (MAC) of an anesthetic agent means it produces lack of reflex response to skin incision in____ of subjects.,B,25%,50%,75%,100%,Anaesthesia,f0a888cd-816b-4fa3-bdd6-87c2e839129f,B
Which of the following can cause laryngospasm on induction?,D,Halothane,Isoflurane,Sevoflurane,Desflurane,Anaesthesia,b7c21fa6-a572-42f2-879c-c3b24db4b65a,C
Mode of spread of enterovirus is ?,C,Vector mediated,Droplet infection,Faeco oral route,Skin contact,Microbiology,f6a06214-1e06-4747-8b60-7abb1adb0784,C
The &;a&;wave of jugular venous pulse is produced by-,B,Atrial relaxation,Atrial systole,Atrial diastole,Rapid venous filling,Medicine,c3cba68f-b126-4d93-848f-02435b14e318,B
The ability of amino acids/proteins to behave like zwitterions forms the basis for separating them using the following technique,C,Gel filtration chromatography,Ion exchange chromatography,Isoelectric focusing,Mass spectrometry,Biochemistry,3aad5d3f-0855-45e3-bd5e-8a07a4f3a947,C
Birth rate is -,A,Live birth/1000 mid yr. population,Birth/1000 mid yr population,Live birth/10000 mid yr. population,"Live birth/10,000 population of reproductive age group (15-45)",Social & Preventive Medicine,40f1e19d-595f-4151-8eb4-915e3940e005,A
Investigation of choice for lumbar prolapsed disc,C,X-ray,CT Scan,MRI,Myelogram Patt,Orthopaedics,ed5fff02-34da-43e1-9a29-802f8309a2ec,C
The term 'psychoanalysis' is associated with:March 2009,C,John Broadus Watson,Carl Gustav Jung,Sigmond Freud,Wilhelm Reich,Psychiatry,e5c9bb7c-cd1b-47f6-a79d-65ab08ebad11,C
In which one of the primary glomerulonephritis the glomeruli are normal by light microscopy but shows loss of foot processes of the visceral epithelial cells and no deposits by electron microscopy:,D,Poststreptococcal glomerulonephritis,Membrano-proliferative glomerulonephritis type I,IgA nephropathy,Minimal change disease,Pathology,89b04bd4-46b4-4a9c-a411-23289b8ef830,D
Ankyloblepharon is:,B,Fusion of bulbar conjunctiva with palpebral conjunctiva,Fusion of upper and lower palpebral eyelid margines,Fusion of bulbar conjunctiva with cornea,Fusion of palpebral conjunctiva with cornea,Ophthalmology,71f5b276-abd2-478e-9b48-7c87ba92c192,B
Hoffa fracture is _____:,D,Stellate patella fracture,Metaphyseo-diaphyseal dissociation of the proximal tibia,Medial collateral ligament avulsion from the femur,Coronal fracture of the posterior part of the femoral condyles,Orthopaedics,9864b853-a2b2-472e-ac6b-7a08d4b647e2,D
Activity of glutathione reductase in RBCs gives an idea about functional index of which of the following?,A,Riboflavin,Pyridoxine,Niacin,Biotin,Pediatrics,47daddaa-ff69-4202-b545-656ccbcccac2,A
The most serious complication of clomiphene therapy for induction of ovulation is:,B,Bone marrow depression,Hyperstimulation syndrome,Secondary amenorrhea,Multiple pregnancy,Gynaecology & Obstetrics,18807b54-adfa-4132-9947-e2b4821e5221,D
Hormone sensitive lipase acts on:,A,Triglycerides,Cholesterol ester,Phospholipids,Gangliosides,Biochemistry,a38fbf51-e7f8-4622-8c8b-2ba2c95d9ee1,A
Treatment of choice for panic attack is?,B,Beta blockers,Benzodiazepines,TCAs,Neuroleptics,Psychiatry,e2f849be-43f8-4284-83e8-17aa0bc1ddb1,B
Light microscope resolution is?,D,200 nm,20 nm,0.2 nm,300 nm,Microbiology,208e42c4-5b10-4377-9c75-5a3fbe0df438,A
The setting of posture before a planned movement is believed to be by,A,Premotor cortex,Motor cortex,Frontal,Supplementary motor cortex,Physiology,ca21257d-cb22-40d6-8f84-268a9c36361c,D
Foldable IOL is made of:,D,PMMA,HEMA,Polypropylene,Acrylic,Ophthalmology,41a3bf76-9d5e-4c2b-9c7e-39c6f4344257,D
Commonest complication of CSOM is,C,Subperiosteal abscess,Mastoiditis,Brain abscess,Meningitis,ENT,97362526-055a-4e9c-b8f8-d31ce57a8ad6,B
Which of the following anaesthetic agents causes a rise in the Intracranial pressure –,A,Sevoflurane,Thiopentone sodium,Lignocaine,Propofol,Anaesthesia,c2a87175-6a21-4a8a-aab4-228331f1ac63,A
Which of the following is not a type of surgery done for entropion,C,Wheeler Procedure,Quicke Procedure,Kuhnt surgery,Lateral tarsal split procedure,Ophthalmology,3048dc92-cf4d-4b98-a000-6b409550bbcf,A
Best test for diagnosis of organic mental disorder,B,Sentence completion test,Bender gestalt test,Rorschach test,Thematic Appreciation Test,Psychiatry,6368f454-13ae-4b44-8aa7-7ced0378a735,B
Mantoux test reading of less than 5mm indicates,B,Tuberculosis infection,Disseminated TB,Susceptiblity to TB,Immunity to TB,Anatomy,2f2b9b1e-61f7-45cb-a653-76e70b1b4583,D
Which of the following glycolytic enzymes is used in gluconeogenesis?,B,Glucokinase,Aldolase,Pyruvate kinase,Phosphofructokinase,Biochemistry,17e554cf-7198-4d1e-9af7-27b871e1e49d,B
Posterior capsulotomy after cataract is done using,B,Argon Laser,Nd YAg,Holmium,Diode laser,Ophthalmology,596f1db8-1aa5-4890-ba12-ac6eb12536f3,B
Spalding sign is seen in -,C,Abortion,Still birth,IUD,Infanticide,Radiology,d1c73efb-f5ed-4710-b172-eb2a8035a4fd,B
The sympathetic fibres of uterus are derived from which segments of veibrae ?,D,T12 - L1,T11 - L2,T1 - S2,T12 - L2,Anatomy,a10cfbb5-dd80-42f3-92b4-2d9d1bc88a40,D
"The range of UV light, which causes maximum skin damage, is:",C,760-800 nm,360-400 nm,290-320 nm,240-290 nm,Dental,f4a939e5-00c9-4432-9d75-eba55a5275b3,C
"In follow up of BPH, most important indication of surgery is:",D,Prostate size >75gm,Single episode of UTI requiring 3 day antibiotics,Cannot use medication due to hypertension,Bilateral hydronephrosis,Surgery,0b8de2cc-5d40-4424-ab6b-850cd85e33b1,D
Tubercular laryngitis affects primarily,B,Anterior commissure,Posterior commissure of larynx,Anywhere within the larynx,Superior surface of larynx,ENT,6bac3f16-7999-4b84-bdde-4edb35066422,C
The best way of diagnosing Trisomy-21 during second trimester of pregnancy is :,D,Triple marker estimation,Nuchal skin fold thickness measurement,Chorionic villus sampling,Amniocentesis,Gynaecology & Obstetrics,ae253755-853f-4c97-8c0f-0bdbc32682e7,D
"A farmer presented with a black mole on the check. It increased in size, more than 6mm with sharply defined borders with central black lesion, what could be the diagnosis?",B,Acral lentigo melanoma,Superficial spreading melanoma,Lentigo maligna melanoma,Nodular melanoma,Dental,aeba1468-2548-49f5-aba5-3f0a98afedd5,B
Aminoacyl t-RNA is not require for ?,C,Proline,Lysine,Hydroxylysine,Methionine,Biochemistry,f93cffa6-26f7-4cc7-b8e2-3236a9bdb22c,C
Prausnitz-kustner (PK) reaction was used to demonstrate -,D,IgA,IgG,IgM,IgE,Microbiology,7bc555b7-73d8-483e-9c63-29e410b14480,D
Testes completely descend in the scrotum by the age of?,C,End of 7th month of intrauterine life,End of 8th month of intrauterine life,End of 9th month of intrauterine life,After bih,Anatomy,81b036b7-5694-4430-b98b-151d05ff7965,C
Best feility result in?,D,Bicornuate,Unicornuate,Septate,Arcuate,Gynaecology & Obstetrics,eb3d6e88-e7c9-4764-909e-640facb58f78,C
Which of the following liver enzymes is predominantly mitochondrial,A,SGOT (AST),SGPT (ALT),GGT,5' Nucleotidase,Biochemistry,048d5f1c-c2a9-4238-af18-21fa42bf34d3,A
Non immune hydrops fetalis is caused by,D,HIV,CMV,HSV,Parvovirus B 19,Pediatrics,8b16fec6-04a4-4359-ba9e-12c0f00ef2c1,D
Acrodermatitis enterohepatica occurs due to?,B,Copper deficiency,Zinc deficiency,Iron deficiency,Folic acid deficiency,Skin,7580f629-2bae-4e88-bced-16c2cd6b6755,B
Jaegers cha is used to measure,B,Distant vision,Near vision,Color vision,Contrast sensitivity,Ophthalmology,8e0ab827-7c14-4b00-b993-b9848c8513f2,B
The schedule of HDCV in rabies is:,A,"0, 3, 7, 10, 14, 28","0, 3, 10, 30","3, 7, 14, 16, 18","0, 7, 14, 16, 18",Microbiology,b0afb32a-1f43-41da-86af-b21bb9404520,A
Global cerebral dysfunction characterized by alteration in cognitive function and consciousness is known as,C,Acute anxiety,Depression,Delirium,Dementia,Psychiatry,edceef2a-c021-40e3-ae79-a36dfdeb193e,C
Feature of ruptured skin caused by excessive heat: AIIMS 10,A,Irregular margin,Clear regular margin,Contused margin,Abraded margin,Forensic Medicine,18f9bd01-5181-435a-bbe2-ea4c74087917,A
Condition promoting adipocere formation -,B,Dry and hot,Hot and humid,Dry and optimum,Cold and moist,Forensic Medicine,7bfe8f93-a12a-4ba9-a9d7-70fa7a514abb,D
The protective effects of breast milk are known to be associated with ___________,D,IgM antibodies,Lysozyme,Mast cells,IgA antibodies,Pediatrics,b5daf6c0-fb5a-419c-a64a-553ab028532f,D
Green stick fracture is -,C,Fracture in adults,Complete fracture,Incomplete fracture,Fracture spine,Orthopaedics,acf95743-c71c-4962-a9ff-c02105057c94,C
Claw hand is caused by damage to?,A,Ulnar nerve,Radial nerve,Medial nerve,Axillary nerve,Orthopaedics,15b5a9e1-27c1-4385-a3af-339f39a8d62e,A
Choledochotomy is-,B,Removal of bile duct,Opening of CBD,Opening of cystic duct,Removal of cystic duct,Surgery,0a350d32-7fef-4b0b-86fd-05d1a531a74f,B
Lipoprotein associated with carrying cholesterol from periphery tissues to liver is -,A,HDL ',LDL,VLDL,IDL,Biochemistry,33f7bd69-443d-41d8-b8ae-0b8fa24dfcb4,A
"A 29 years old man with IDDM for the last 14 years develops sudden vision loss, has non–proliferating diabetic retinopathy, cause is –",A,Macular oedema,Vitreous haemorrhage,Subretinal haemorrhage,Retinal traction,Ophthalmology,3b0a9d79-6b6e-4c5c-8558-bde425e066d5,B
Resting membrane potential in ventricular myocardium,D,-50mV,>70mV,+70mV,-90mV,Physiology,5df38361-b59f-41c9-9f8b-649a606b0c50,D
The karyotope in testicular feminising syndrome is ?,B,XX,XY,XXY,XXXY,Pediatrics,52ea0962-0c74-479b-b7ed-d2fc5f6e671f,B
A patient with bilirubin value of 8 mgldl and serum creatinine of 1.9 mg/dl is Planned for surgery.What is the muscle relaxant of choice in this patient-,C,vecuronium,Pancuronium,Atracurium,Rocuronium,Anaesthesia,1249e3d7-9b96-4fec-ad46-e4856ad4b2da,C
Highest risk of ectopic pregnancy is with:,B,Intrauterine device,Surgery for previous ectopic,Salpingitis,Salpingitis isthmica nodosa,Gynaecology & Obstetrics,7023f59d-eb41-41ae-8709-7d424b3f53b2,D
A 45-year-old driver is involved in a motor vehicle collision and sustains a pos terior dislocation of the left hip. What is the most likely concomitant injury,B,Right knee meniscus tear,Left knee anterior cruciate ligament tear,Subdural hematoma,Lumbar burst fracture,Orthopaedics,947848aa-975c-4a61-a12a-c47d00061d5e,D
There is a retained iron foreign body. What is the best investigation for monitoring vision?,A,ERG,Dark adaptometry,Serial Evoked Potentials,Arden index,Ophthalmology,8a9527f4-65e2-494b-b5d2-78e04b9357b0,A
Which is 21stamino acid,D,Alanine,Cystine,Arginine,Seleno cysteine,Biochemistry,0c72b1ed-9b2a-4090-bc17-5d9627415e66,D
Treatment for fracture neck of femur in a 70 year old patient with avascular necrosis of head of femur?,A,Total hip replacement,Total knee replacement,Unicondylar knee replacement,Hemiahroplasty,Orthopaedics,05d5c1d7-c302-44e6-890d-a89d5ada191b,A
Fluoroquinolone with highest oral bioavailability,A,Gemifloxacin,Norfloxacin,Ciprofloxacin,Levofloxacin,Pharmacology,3dfb4db7-65a3-4bfc-ac88-f1fd1310faf1,D
Which of the following is the investigation of choice for evaluation of acute head injury?,A,NCCT Head,CECT Head,MRI Braind,PET scan,Radiology,b1ca9e2f-4224-4391-b1ed-7f432af08bcf,A
Surfactant appears in amniotic fluid at:,B,20 wk,28 wk,32 wk,4 wk,Pediatrics,58358de8-a5e1-4bd1-9d32-70c17b4dd6e2,B
24-12-6 rule is applied for,C,Ptosis surgery,Pterygium surgery,Orbital surgery,Glaucoma surgery,Ophthalmology,aad888f7-704e-44c5-a6eb-ba8aa67bb0de,B
"An elderly house wife lost her husband who died suddenly of Myocardial infarction couple of years ago. They had been staying alone for almost a decade with infrequent visits from her son and grandchildren. About a week after the death she heard his voice clearly talking to her as he would in a routine manner from the next room. She went to check but saw nothing. Subsequently she often heard his voice conversing with her and she would also discuss her daily matters with him. This however, provoked anxiety and sadness of mood when she was preoccupied with his thought. She should be treated with -",A,Clomipramine,Alprazolam,Electroconvulsive therapy,Haloperidol,Psychiatry,268b19f8-e89a-400b-a312-071c079710d1,D
Local anaesthetic with prolonged action ?,D,Procaine,Cocaine,Lidocaine,Dibucaine,Anaesthesia,a9d24952-b3c6-4076-ad07-9d3a663910c2,D
Most common cause of cervical neoplasia is,C,HPV 6,HPV 11,HPV 16,HPV36,Pathology,7ab2ae0b-379a-44cf-8db7-3a801e3c2c83,C
CMV causes: March 2013,A,IUGR,Sepsis,Hydrocephalus,Thrombocytosis,Gynaecology & Obstetrics,b9a8cbb8-595b-4bdb-adc3-cf0ae6c25e46,A
Which of the following is the nucleus for upwards gaze?,D,Paramedian Pontine Reticular Formation,Nucleus Raphe Magnus,Cuneiform nucleus,Nucleus of Cajal,Ophthalmology,5a8e2ef8-30a3-4c37-836d-a4eed5fed359,D
Superior orbital fissure syndrome - following nerves are affected ?,C,"C.N. 1, 2, 4, 6","C.N. 2, 3, 4, 6","C.N. 3, 4, 5, 6","C.N. 1, 2, 3, 4, 5",Ophthalmology,4b49f33c-e591-4e7d-81dc-d27cb4a5364b,C
Most often used thickness of the matrix band is:,B,0.0015 cm,0.0015 inch,0.015 inch,0.0028 mm,Dental,675e789e-6670-4c58-a094-8a3cc5f96b64,B
Number of prosthetic groups in a hemoglobin molecule ?,D,1,2,3,4,Biochemistry,025b8411-8590-4ed5-917e-0601a984ab4d,D
Secretion of estrogen is maximum at,D,Just before menopause,At pubey,At menstruation,Before ovulation,Physiology,5ef2e1e1-d023-4f4b-b9e5-db960a1c364f,D
Local vasoconstriction is seen with:,A,Cocaine,Lignocaine,Bupivacaine,Mepivacaine,Anaesthesia,f16a84c1-d8b9-4e11-b8ae-f1bebcc67e0f,A
Laser irodotomy is done in: March 2012,A,Angle closure glaucoma,Open angle glaucoma,Neovascular glaucoma,Congenital glaucoma,Ophthalmology,695c4664-8ae8-472e-b38e-ef5ace8b57f8,A
Aspirin is used for secondary prevention of ischemic hea disease because it:-,A,Inhibits TXA2 synthesis by platelets,Inhibit prostacyclin synthesis,Inhibits release of EDRF,Inhibit synthesis of endothelins,Pharmacology,c8ed4674-bac9-4a56-bb25-cf2ca2fd1884,A
Which causes raised angiotensin in blood -a) Increased blood volumeb) Raised cardiac outputc) Decreased blood pressured) Increased sympathetic tone,C,ab,bc,cd,ac,Physiology,328cd109-8854-4dba-88a5-123e1d0971b4,C
"Normal vision with absence of direct & consensual light reflex, which nerve is involved ?",B,Optic,Oculomotor,Trigeminal,Abducens,Ophthalmology,9a32e170-b0ad-4f34-9f11-bd4c1b1a5373,B
Amebic liver disease is characterized by?,A,Most common in right lobe of the liver,Diarrhea is the most common presentation,Resistant to metronidazole,Liver is the most common primary site of infection,Pathology,74438d0d-43d1-406e-9364-8be62a6ab8bf,A
Shivering is controlled by,B,Medulla,Hypothalamus,Thalamus,Basal ganglia,Physiology,77b2b9df-07f9-4e82-ab6f-1ff2721e115e,B
The given appearance of pinna is suggestive of:,C,Pseudomonas infection,Aspergillus infection,Post-traumatic,Tuberculosis,ENT,1e5d9113-8add-4966-8323-efa25b676434,C
Administration of scoline (Sch) produces dangerous hyperkalemia in,D,Acute renal failure (ARF),Raised ICT,Fracture femur,Paraplegia,Anaesthesia,1ff2de69-e66e-481c-9df0-96595855c010,D
GABA is produced from:,C,Alanine,Glycine,Glutamate,Glutamine,Physiology,81f3ce8d-ce5d-4da1-a6b3-b8228d4856ce,C
Edmonston strain is -,B,Hepatitis-B,Measles,Mumps,Rubella,Microbiology,270c01de-caf9-4d71-9f22-e95bbafd30a2,B
"In AS type of tympanogram, compliance:",B,Increases,Decreases,Normal,Not related,ENT,89f419ea-f977-4227-bc6b-390ae8bffad6,B
The MTP Act was passed in the year ?,A,1971,1976,1982,1988,Gynaecology & Obstetrics,5ec2c40e-44d4-4e62-8d7b-744541bbe48d,A
Oxygen is effective during radiotherapy?,A,Just before staing,During and within microsecond of staing,After 5 min,After 10 min,Radiology,f5026f90-9c6e-48a6-9b09-d6229afb55eb,B
Which enzyme is defective in Refsums disease?,A,Phytanic acid oxidase,Succinate thiokinase,Malonate dehydrogenase,Thiophorase,Ophthalmology,20e0a787-6eee-4493-8d2d-9a49dc3a5bb3,A
Gender specific adverse effect of valproate is,D,Weight gain,Tremors,Alopecia,Polycystic ovarian disease,Pharmacology,569a564c-7bc4-4bd9-83e6-29c6b2305262,D
The most suitable agent for IV induction and maintenance in a day care surgery?,C,Etomidate,Ketamine,Propofol,Thiopentone,Anaesthesia,b16b94ee-ca72-4b85-909c-b00d6b40d92a,C
In CSF rhinorrhea CSF from middle cranial fossa reaches the nose :,A,Sphenoid sinus,Frontal sinus,Cribriform plate,Fovea ethmoidalis,ENT,f11c22bc-5ac7-4476-8e82-d87c96b96eba,A
Contrast material used in the diagnosis of esophageal atresia is,C,Gastrograffin,Conray 420,Dianosil,Myodii,Radiology,9d3ae768-4ffb-4ea6-98ff-80c9a2ab885a,A
The following phenomenon is responsible for antibiotic resistance in bacteria due to slime production -,B,Co-aggregation,Biofilm formation,Mutation evolving in altered target site for antibiotics,Mutation evolving a target by pass mechanism,Microbiology,9e6b5ee9-5045-4fb4-80ed-21d5ed801729,B
"By which of the following condition, aoa is at more risk of getting inflammed (aoitis)?",A,Ascending Aoic Aneurysm,Abdominal Aoic Aneurysm,Thoracic Aoic Aneurysm,Narrow superior mediastinum,Radiology,3c745cca-c9a5-4178-a34f-52b8edfe76d2,A
Schwaz operation is done in,D,CSOM,Serous otitis media,Otosclerosis,Acute mastoiditis,ENT,3ca19f98-7c24-4c6c-91c8-9ad4f99ddf26,C
The Hormone which forms the basis for 'Basal Body Temperature' as a method of detecting ovulation is :,B,Estrogen,Progesterone,HCG,Oxytocin,Gynaecology & Obstetrics,640faea2-e05c-4e89-bba5-0978427533cc,B
A Patient Presented with the following . What is the etiopathogenesis of the disease process ?,D,Septal detion of nose,Sweat gland hyperophy,Mucous gland hyperophy,Sebaceous gland hyperophy,ENT,6bebb475-1876-406f-a543-1c23811e8f93,C
Ashleaf spots are seen in: March 2007,B,Psoriasis,Tuberous sclerosis,Multiple sclerosis,Pemphigus vulgaris,Skin,b9fa77d4-c988-4e7b-90b5-5d9bb4233e7f,B
A patient Shweta with raised serum alkaline phosphatase and raised parathormone level along with low calcium and low phosphate level is likely to have -,D,Primary hyperparathyroidism,Paget's disease,Osteoporosis,Vitamin D deficiency,Orthopaedics,ee7c4bce-61ae-4677-80f9-47c8e104bcb3,D
Language function is preserved in,B,Autism,Asperger's syndrome,Rett syndrome,Tourette syndrome,Psychiatry,67db7747-54dc-4e65-a1f5-4ca2b8e0ad97,B
Pseudogestational sac is seen in ultrasonography is suspicious of,C,Missed aboion,Incomplete aboion,Ectopic pregnancy,Complete aboion,Gynaecology & Obstetrics,67278fe4-9382-4616-880a-dd5198c852a6,C
Another name for oral thrush is ?,A,Candidiasis,Herpangina,Vincent's infection,Hand foot and mouth disease,ENT,73642435-022f-4008-867c-22e392c5f126,A
Tuberculin test is ?,B,Subcutaneous,Intradermal,Intramuscular,Subdermal,Social & Preventive Medicine,3504ea21-e417-4ad5-98fc-646273d5bf49,B
Pulse deficit of more than 10 per minute is seen in:,C,Ventricular Premature Contraction (VPC) (NBE),Bradyarrhythmias,Atrial Fibrillation (AF),Ventricular Fibrillation (VF),Medicine,1a1c6399-62ea-49ce-a5a2-91445f717b8a,C
Type-II lepra reaction is found in :,B,BB(Borderline),LL(Lepromatous),BT (Borderline tuberculoid),TT(Tuberculoid),Skin,b7176ef8-2de0-44a5-926f-99362dde3fba,B
Which of the following drug is not associated with drug induced pemphigus?,D,Rifampicin,Penicillin,Captopril,Furosemide,Skin,92f1978a-cf24-403e-8767-b874d34143cd,A
Left testicular vein drains into which of the following?,A,Left renal vein,Inferior vena cava,Common iliac vein,Internal iliac vein,Anatomy,df8bc0c9-a64f-4262-a7a7-e698b2ee5c09,A
Muscle rigidity by fentanyl is due to which receptor:,A,Meu (m),Kappa (k),Delta (d),Sigma (s),Anaesthesia,9968b499-f68f-49d8-b1be-dbc4d0e0c15d,A
"A bacterium acquires an antibiotic-resistance gene that is carried by a phage vector. The phage vector does not carry randomly chosen poions of bacterial DNA, but instead almost always carries primarily the antibiotic-resistance gene. This is an example of which of the following?",C,Conjugation,Generalized transduction,Site-specific transduction,Transformation,Microbiology,57b285d4-fa26-4b0d-9407-2bd552559e48,C
An absolute contraindication of MRI is:,A,Automatic Cardioverter-defibrillators,Prosthetic cardiac valves,Insulin pump,Cochlear implants,Radiology,2f7bba9d-a3ca-4459-9358-436f8b338312,A
